## [BeGaze]
## Converted from:	E:\SMI-A\woods002\Participant 1-[8c0e3f91-eaa1-4953-8e86-7161fe265993]\Participant 1-6-recording.idf
## Date:	21.09.2018 09:54:03
## Version:	BeGaze 3.7.59
## IDF Version:	10
## Sample Rate:	120
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	6404
## Reversed:	none
## [Run]
## Subject:	Participant 1 (5)
## Description:	Run6
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, DIAMETER, POR, EYEPOSITION, GAZEVECTOR, FRAMECOUNTER
##
Time;Type;Trial;L Dia X [px];L Dia Y [px];L Pupil Diameter [mm];R Dia X [px];R Dia Y [px];R Pupil Diameter [mm];B POR X [px];B POR Y [px];L POR X [px];L POR Y [px];R POR X [px];R POR Y [px];L EPOS X;L EPOS Y;L EPOS Z;R EPOS X;R EPOS Y;R EPOS Z;L GVEC X;L GVEC Y;L GVEC Z;R GVEC X;R GVEC Y;R GVEC Z;Frame;Aux1
679966753;SMP;1;48.4827;39.6181;5.4381;48.5191;39.9169;5.7623;704.6358;382.3130;704.6358;382.3130;704.6358;382.3130;33.4310;2.6927;-26.3576;-31.3514;4.0648;-28.0433;-0.0602;-0.0965;0.9935;-0.0934;-0.0848;0.9920;00:00:00:02;
679975021;SMP;1;48.5685;39.1919;5.4907;48.4950;39.5482;5.7761;676.0194;367.3763;676.0194;367.3763;676.0194;367.3763;33.4314;2.6918;-26.3560;-31.3536;4.0633;-28.0421;-0.0329;-0.0876;0.9956;-0.0713;-0.0681;0.9951;00:00:00:02;
679983282;SMP;1;48.3417;37.9043;5.4330;48.5882;38.4243;5.7684;629.3809;339.8130;629.3809;339.8130;629.3809;339.8130;33.4317;2.6902;-26.3541;-31.3558;4.0602;-28.0400;0.0027;-0.0678;0.9977;-0.0265;-0.0406;0.9988;00:00:00:03;
679991553;SMP;1;48.3369;36.5292;5.4009;48.4688;37.5797;5.7864;580.4702;312.0115;580.4702;312.0115;580.4702;312.0115;33.4307;2.6796;-26.3483;-31.3557;4.0584;-28.0385;0.0385;-0.0456;0.9982;0.0214;-0.0150;0.9997;00:00:00:03;
679999842;SMP;1;48.0793;35.2118;5.4285;48.3368;36.4372;5.7881;538.0665;288.0031;538.0665;288.0031;538.0665;288.0031;33.4296;2.6705;-26.3458;-31.3550;4.0574;-28.0371;0.0711;-0.0281;0.9971;0.0606;0.0084;0.9981;00:00:00:03;
680008088;SMP;1;48.1417;34.3257;5.4624;48.3723;35.5971;5.8291;507.6366;275.0149;507.6366;275.0149;507.6366;275.0149;33.4298;2.6651;-26.3455;-31.3532;4.0588;-28.0374;0.0931;-0.0180;0.9955;0.0897;0.0203;0.9958;00:00:00:03;
680016386;SMP;1;48.1699;34.1512;5.4706;48.5097;35.6777;5.8379;491.0621;272.6155;491.0621;272.6155;491.0621;272.6155;33.4307;2.6622;-26.3461;-31.3512;4.0606;-28.0374;0.1066;-0.0145;0.9942;0.1040;0.0210;0.9944;00:00:00:03;
680024756;SMP;1;48.2021;34.6126;5.4613;48.4939;35.9574;5.8410;498.4535;276.3211;498.4535;276.3211;498.4535;276.3211;33.4324;2.6584;-26.3470;-31.3481;4.0637;-28.0379;0.1042;-0.0158;0.9944;0.0942;0.0161;0.9954;00:00:00:03;
680032959;SMP;1;48.2795;35.2252;5.4826;48.5453;36.7122;5.8145;503.5440;281.3627;503.5440;281.3627;503.5440;281.3627;33.4348;2.6556;-26.3480;-31.3461;4.0644;-28.0360;0.1018;-0.0190;0.9946;0.0882;0.0108;0.9960;00:00:00:04;
680041226;SMP;1;48.2616;35.3451;5.4669;48.4590;36.7989;5.7997;504.4405;283.5031;504.4405;283.5031;504.4405;283.5031;33.4377;2.6518;-26.3489;-31.3445;4.0646;-28.0339;0.1024;-0.0212;0.9945;0.0861;0.0094;0.9962;00:00:00:04;
